Column1	Column2	Column3
museum (n)	/mju??zi?.?m/	b?o tàng
music (n)	/?mju?.z?k/	âm nh?c
must (modal verb)	/m?st/	"ph?n, c?n làm gì"
my (adj)	/ma?/	c?a tôi
name (n)	/ne?m/	"tên, danh tính"
narrow (adj)	/?ner.o?/	"h?p, ch?t h?p"
nation (n)	/?ne?.??n/	qu?c gia
nature (n)	/?ne?.t??/	thiên nhiên
near (adv)	/n?r/	"? g?n, sát g?n"
nearly (adv)	/?n?r.li/	"g?n, suýt, s?p"
neck (n)	/nek/	cái c?
need (v)	/ni?d/	"c?n, ?òi h?i"
needle (n)	/?ni?.d?l/	"cái kim, kim ch?"
neighbour (n)	/?ne?.b?/	hàng xóm
neither (n)	/?na?.ð?/	không cái nào (trong hai cái)
net (n)	/net/	cái l??i
never (adv)	/?nev.?/	"ch?a bao gi?, không bao gi?"
new (adj)	/nu?/	m?i
news (n)	/nu?z/	"b?n tin, tin t?c"
newspaper (n)	/?nu?z?pe?.p?/	báo
next (adj)	/nekst/	"sát, g?n"
nice (adj)	/na?s/	"t?t, t? t?, chu ?áo"
night (n)	/na?t/	bu?i ?êm
nine (n)	/na?n/	s? 9
no (det)	/no?/	không
noble (adj)	/?no?.b?l/	"quý t?c, quý phái"
noise (n)	/n??z/	ti?ng ?n
none (pron)	/n?n/	"không ai c?, không gì"
nor (conj)	/n??r/	c?ng không
north (n)	/n??r?/	"ph??ng, h??ng B?c"
nose (n)	/no?z/	cái m?i
not (adv)	/n??t/	không
nothing (n)	/?n??.??/	không gì
notice (v)	/?no?.t??s/	"chú ý, ?? ý, nh?n ra"
now (adv)	/na?/	"ngay bây gi?, hi?n t?i"
number (n)	/?n?m.b?/	s? ??m
obey (v)	/o??be?/	"tuân th?, tuân l?nh"
object (n)	/???b.d??kt/	"?? v?t, v?t th?, m?c tiêu"
ocean (n)	/?o?.??n/	??i d??ng
of (prep)	/??v/	"c?a, thu?c"
off (adv)	/??f/	t?t
offer (v)	/???.f?/	"bi?u, t?ng, ?? ngh?"
office (n)	/???.f?s/	v?n phòng
often (adv)	/???f.?n/	"th??ng xuyên, nhi?u l?n"
oil (n)	/??l/	d?u
old (adj)	/o?ld	"già, l?n tu?i"
on (prep)	/??n/	bên trên
one (n)	/w?n/	s? 1
only (adj)	/?o?n.li/	"ch? m?t, duy nh?t"
open (adj)	/?o?.p?n/	m?
opposite (adj)	/???.p?.z?t/	"??i l?p, trái ng??c"
or (conj)	/??r/	"ho?c, hay"
orange (n)	/???r.?nd?/	qu? cam
order (n)	/???r.d?/	??n ??t hàng
other (det)	/??ð.?/	"khác, kia"
our (adj)	/?a?.?/	"c?a chúng ta, c?a chúng tôi"
out (prep)	/a?t/	"ra ngoài, ra kh?i"
outside (prep)	/?a?t?sa?d/	phía bên ngoài
over (prep)	/?o?.v?/	"lên trên, bên trên"
own (v)	/o?n/	"s? h?u, có"
page (n)	/pe?d?/	"t? gi?y, trang gi?y"
pain (n)	/pe?n/	n?i ?au
paint (v)	/pe?nt/	tô màu
pair (n)	/per/	"?ôi, c?p"
pan (n)	/pæn/	cái ch?o
paper (n)	/?pe?.p?/	gi?y
parent (n)	/?per.?nt/	"b? m?, ph? huynh"
park (n)	/p??rk/	công viên
part (n)	/p??rt/	"ph?n, b? ph?n"
partner (n)	/?p??rt.n?/	"c?ng s?, ??i tác"
party (n)	/?p??r.t?i/	"b?a ti?c, bu?i ti?c"
pass (v)	/pæs/	"?i qua, ngang qua"
past (n)	/pæst/	"quá kh?, d? vãng"
path (n)	/pæ?/	"???ng ?i, h??ng ?i"
pay (v)	/pe?/	"tr? ti?n, thanh toán"
peace (n)	/pi?s/	"hòa bình, s? yên ?n"
pen (n)	/pen/	bút máy
pencil (n)	/?pen.s?l/	bút chì
people (n)	/?pi?.p?l/	"ng??i (nói chung), nhân dân"
pepper (n)	/?pep.?/	h?t tiêu
per (prep)	/p??/	m?i
perfect (adj)	/?p??.fekt/	"hoàn h?a, hoàn m?"
period (n)	/?p?r.i.?d/	"th?i k?, giai ?o?n"
person (n)	/?p??.s?n/	con ng??i (s? ít)
petrol (n)	/?pet.r?l/	x?ng d?u
photograph (n)	/?fo?.t?o?.?ræf/	"b?c ?nh, t?m ?nh"
piano (n)	/pi?æn.o?/	"?àn d??ng c?m, ?àn piano"
pick (v)	/p?k/	"nh?t, hái"
picture (n)	/?p?k.t??/	"b?c tranh, b?c v?"
piece (n)	/pi?s/	"m?nh, m?u, mi?ng"
pig (n)	/p??/	"con l?n, heo"
pin (n)	/p?n/	?inh ghim
pink (n)	/p??k/	(màu s?c) h?ng
place (n)	/ple?s/	"n?i, ch?, ??a ?i?m"
plane (n)	/ple?n/	"máy bay, phi c?"
plant (n)	/plænt/	"th?c v?t, cây c?i"
plastic (n)	/?plæs.t?k/	"ch?t d?o, nilon"
plate (n)	/ple?t/	"cái ??a, ??a th?c ?n"
play (v)	/ple?/	"ch?i ?ùa, vui ch?i"
please (v)	/pli?z/	"làm hài lòng, làm hài lòng"
pleased (adj)	/pli?zd/	"th?a mãn, hài lòng"
plenty (n)	/?plen.t?i/	"nhi?u, phong phú, d?i dào"
pocket (n)	/?p??.k?t/	"túi (qu?n, áo), bao ??ng"
point (n)	/p??nt/	"v?n ??, tr?ng ?i?m, ?i?m chính"
poison (n)	/?p??.z?n	"ch?t ??c, thu?c ??c"
police (n)	/p??li?s/	c?nh sát
polite (adj)	/p??la?t/	"l?ch s?, l?ch thi?p"
pool (n)	/pu?l/	"v?ng n??c, h? b?i"
poor (adj)	/p?r/	nghèo kh?
popular (adj)	/?p??.pj?.l?/	"n?i ti?ng, ph? bi?n, th?nh hành"
position (n)	/p??z??.?n/	"v? trí, ch?"
possible (adj)	/?p??.s?.b?l/	"kh? thi, có th? th?c hi?n ???c"
potato (n)	/p??te?.t?o?/	khoai tây
pour (v)	/p??r/	"rót, ??, gi?i n??c"
power (n)	/?pa?.?/	"s?c m?nh, quy?n l?c"
present (n)	/?prez.?nt/	"hi?n t?i, bây gi?"
press (v)	/pres/	"?n, ép ch?t"
pretty (adj)	/?pr?t?.i/	xinh x?n
prevent (v)	/pr??vent/	"ng?n ch?n, ng?n c?n"
price (n)	/pra?s/	"giá thành, giá c?"
prince (n)	/pr?ns/	hoàng t?
prison (n)	/?pr?z.?n/	"nhà tù, ng?c tù"
private (adj)	/?pra?.v?t/	"riêng t?, cá nhân"
prize (n)	/pra?z/	"ph?n th??ng, gi?i th??ng"
probably (adv)	/?pr??.b?.bli/	"có th?, có kh? n?ng"
problem (n)	/?pr??.bl?m/	v?n ??
produce (v)	/pr??du?s/	"s?n xu?t, t?o ra"
promise (v)	/?pr??.m?s/	"h?a, ??m b?o"
proper (adj)	/?pr??.p?/	"?úng, thích ?áng, h?p lý"
protect (v)	/pr??tekt/	"b?o v?, b?o h?, che ch?"
provide (v)	/pr??va?d/	"cung c?p, chu c?p"
public (adj)	/?p?b.l?k/	"chung, công khai, công c?ng"
"pull (n, v)"	/p?l/	"lôi, kéo (v? phía mình); s? lôi kéo"
punish (v)	/?p?n.??/	"tr?ng ph?t, tr?ng tr?, tr? t?i"
pupil (n)	/?pju?.p?l/	"h?c sinh, sinh viên"
"push (v, n)"	/p??/	"xô, ??y; s? xô m?nh"
put (v)	/p?t/	"??t, ??, cho vào"
queen (n)	/kwi?n/	"v? c?a vua, n? hoàng, bà hoàng"
"question (n, v)"	/?kwes.t??n/	"câu h?i, câu nghi v?n; ??t câu h?i, ch?t v?n"
quick (adj)	/kw?k/	"nhanh chóng, g?p gáp"
quiet (adj)	/?kwa?.?t/	"yên t?nh, l?ng l?, im ?ng"
quite (adv)	/kwa?t/	"t??ng ??i, khá"
radio (n)	/?re?.di.o?/	"?ài radio, ?ài phát thanh, sóng vô tuy?n"
"rain (n, v)"	/re?n/	"c?n m?a, tr?n m?a; ?? m?a"
rainy (adj)	/?re?.ni/	"m?a nhi?u, hay m?a"
raise (v)	/re?z/	"nâng lên, gi? lên, t?ng lên"
"reach (n, v)"	/ri?t?/	"s? v?i tay; ??a tay ra, v?i tay; ??t ???c, ??t ??n"
read (v)	/ri?d/	??c
ready (adj)	/?red.i/	"s?n sàng, s?n lòng"
real (adj)	/?ri?.?l/	"th?c t?, có th?t"
really (adv)	/?ri?.?.li/	"th?c, th?t ra"
receive (v)	/r??si?v/	"nh?n ???c, l?nh h?i, ti?p thu"
"record (n, v)"	/r??k??rd/	"biên b?n, b?n ghi; ghi chép, thu âm"
red (n)	/red/	(màu s?c) ??
remember (v)	/r??mem.b?/	"nh?, ghi nh?"
remind (v)	/r??ma?nd/	"nh?c nh?, g?i nh?"
remove (v)	/r??mu?v/	"xóa b?, tháo b?, lo?i b?"
"rent (n, v)"	/rent/	"s? cho thuê, m??n; cho thuê, cho m??n"
"repair (n,v)"	/r??per/	"s? s?a ch?a, s? h?i ph?c; s?a ch?a, khôi ph?c"
"repeat (n, v)"	/r??pi?t/	"s? nh?c l?i, s? l?p l?i; nh?c l?i, l?p l?i"
"reply (n, v)"	/r??pla?/	"s? h?i ?áp, câu tr? l?i; ph?n h?i"
"report (n, v)"	/r??p??rt/	"b?n báo cáo, b?n t??ng thu?t; t??ng thu?t l?i, k? l?i"
"rest (n, v)"	/rest/	"kho?ng ngh?, s? ngh? ng?i, s? thanh th?n; ngh? ng?i, yên ngh?"
restaurant (n)	/?res.t?.r??nt/	nhà hàng ?n u?ng
"result (n, v)"	/r??z?lt/	"k?t qu?, thành qu?; d?n ??n k?t qu?"
"return (n, v)"	/r??t??n/	"s? tr? l?i, s? tr? l?i; tr? l?i, tr? v?"
rice (n)	/ra?s/	"g?o, c?m"
rich (adj)	/r?t?/	"giàu có, d?i dào, phong phú"
"ride (n, v)"	/ra?d/	"chuy?n ?i; ?i (xe), c??i (ng?a)"
"right (n, adj, adv)"	right	"bên ph?i, quy?n l?i; chính xác, ?úng ??n; ngay, th?ng, bên ph?i"
"ring (n, v)"	/r??/	"nh?n, chuông; ?eo nh?n, x? nh?n, rung, reo"
rise (n)	/ra?z/	"s? t?ng lên; d?y, ??ng d?y, m?c"
road (n)	/ro?d/	"con ???ng, l? trình"
rob (v)	/r??b/	"c??p gi?t, l?y tr?m"
rock (n)	/r??k/	"?á, hòn ?á; rung chuy?n"
room (n)	/ru?m/	"bu?ng, phòng, ch?"
"round (n, adj, adv)"	/ra?nd/	"vòng tròn, vòng; tròn, ch?n; vòng quanh"
"rubber (n, v)"	/?r?b.?/	cao su; b?c b?ng cao su
rude (adj)	/ru?d/	"khi?m nhã, b?t l?ch s?, vô duyên"
"rule (n, v)"	/ru?l/	"phép t?c, quy ??nh; cai tr?, th?ng tr?, ?i?u khi?n"
ruler (n)	/?ru?.l?/	"th??c k?, ng??i cai tr?"
"run (n, v)"	/r?n/	cu?c ch?y; ch?y
"rush (n, v)"	/r??/	"s? g?p gáp, v?i vàng; làm g?p, xô, ??y"
sad (adj)	/sæd/	"bu?n bã, r?u r?"
"safe (n, adj)"	/se?f/	"t? két; an toàn, ch?c ch?n"
"sail (n, v)"	/se?l/	"cánh bu?m; ?i tàu, thuy?n"
salt (n)	/s??lt/	mu?i
"same (adj, adv)"	/se?m/	"??ng ??u, gi?ng nhau; nh? nhau"
sand (n)	/sænd/	cát
save (v)	/se?v/	"c?u, c?u v?t"
say (v)	/se?/	"nói, phát bi?u"
school (n)	/sku?l/	"tr??ng h?c, ?àn (cá)"
science (n)	/?sa?.?ns/	khoa h?c
scissors (n)	/?s?z.?z/	cái kéo
"search (n, v)"	/s??t?/	"s? tìm ki?m, cu?c khám xét; tìm ki?m, th?m dò"
"seat (n, v)"	/si?t/	"gh?, ch? ng?i; ng?i"
"second (n, det, adv)"	/?sek.?nd/	"ng??i v? nhì, ng??i th? hai; th? hai; ? v? trí th? hai"
see (v)	/si?/	"trông, nhìn, xem, ngó"
seem (v)	/si?m/	"có v? nh?, d??ng nh?"
sell (v)	/sel/	"bán, ?? l?i"
send (v)	/send/	"g?i ?i, c? ?i, cho"
sentence (n)	/?sen.t?ns/	câu
"serve (n, v)"	/s??v/	"ph?n ?n; ph?c v?, ph?ng s?"
seven (n)	/?sev.?n/	s? 7
"several (pron, detet)"	/?sev.?.?l/	"vài,"
sex (n)	/seks/	gi?i tính
"shade (n, v)"	/?e?d/	"bóng râm, bóng t?i; che bóng mát"
"shadow (n, v)"	/??æd.o?/	bóng t?i; che bóng
"shake (n, v)"	/?e?k/	"s? rung, l?c; rung, l?c, run"
shape (n)	/?e?p/	"hình dáng, hình thù; t?o hình, ??o g?t"
"share (n, v)"	/?er/	"ph?n ?óng góp, c? ph?n; chia s?, san s?"
sharp (adj)	/???rp/	"s?c bén, nh?n"
she (pron)	/?i?/	"cô ?y, bà ?y, ch? ?y"
sheep (n)	/?i?p/	con c?u
sheet (n)	/?i?t/	"kh?n tr?i gi??ng; t?m, phi?u, t?"
shelf (n)	/?elf/	"k?, ng?n, giá ??"
"shine (n, v)"	/?a?n/	"ánh sáng, ánh n?ng; chi?u sáng, soi sáng"
ship (n)	/??p/	"tàu, tàu th?y"
shirt (n)	/???t/	áo s? mi
shoe (n)	/?u?/	cái giày
"shoot (n, v)"	/?u?t/	"cu?c s?n b?n; b?n, s?n"
"shop (n, v)"	/???p/	"c?a hàng, c?a hi?u; ?i mua s?m"
"short (adj, adv)"	/???rt/	"ng?n, th?p; ??t nhiên, ??t ng?t"
should (modal verb)	/??d/	nên
shoulder (n)	/??o?l.d?/	"vai, vai áo"
"shout (n, v)"	/?a?t/	"s? la hét, hò hét; reo hò"
"show (n, v)"	/?o?/	"s? bày t?, cu?c tr?ng bày, bi?u di?n; cho th?y, t? ra"
sick (adj)	/s?k/	"?m ?au, bu?n nôn"
side (n)	/sa?d/	"m?t, m?t ph?ng, phía, bên, ph??ng di?n"
signal (n)	/?s??.n?l/	"d?u hi?u, tín hi?u"
silence (n)	/?sa?.l?ns/	"s? im l?ng, s? câm l?ng"
silly (adj)	/?s?l.i/	"ng? ngh?ch, ng?c ngh?ch"
"silver (n, adj)"	/?s?l.v?/	kim lo?i b?c; làm b?ng b?c
similar (adj)	/?s?m.?.l?/	"gi?ng nhau, t??ng t?"
simple (adj)	/?s?m.p?l/	"??n gi?n, ??n ?i?u"
single (adj)	/?s??.??l/	"ch? m?t; ??n ??c, ??c thân"
since (adv)	/s?ns/	"k? t? ?ó, t? khi ?y"
sing (v)	/s??/	"hát, ca hát"
"sink (n, v)"	/s??k/	"b?n r?a, ch?u r?a; chìm, lún"
sister (n)	/?s?s.t?	"ch?, em gái"
sit (v)	/s?t/	"ng?i, c??i"
six (n)	/s?ks/	s? 6
size (n)	/sa?z/	"kích th??c, kích c?, quy mô"
skill (n)	/sk?l/	"k? n?ng, k? thu?t"
skin (n)	/sk?n/	"da, bì, v? (hoa qu?)"
skirt (n)	/sk??t/	chân váy
sky (n)	/ska?/	b?u tr?i
"sleep (n, v)"	/sli?p/	gi?c ng?; ng?
"slip (n, v)"	/sl?p/	"s? tr??t chân; tr??t, tu?t"
slow (adj)	/slo?/	"ch?m ch?p, lâu"
small (adj)	/sm??l/	nh? bé
"smell (n, v)"	/smel/	"mùi, h??ng; ng?i"
"smile (n, v)"	/sma?l/	n? c??i; c??i m?m
"smoke (n, v)"	/smo?k/	"khói, khói thu?c; hút thu?c, hun khói"
"snow (n, v)"	/sno?/	tuy?t; tuy?t r?i
so (adv)	/so?/	"nh? th?, c?ng v?y"
"soap (n, v)"	/so?p/	xà phòng; xát xà phòng
sock (n)	/s??k/	"cái t?t, v?"
soft (adj)	/s??ft/	"m?m, nh?"
some (det)	/s?m/	"m?t vài, nào ?ó"
someone (pron)	/?s?m.w?n/	"ai ?ó, ng??i nào ?ó"
something (pron)	/?s?m.???/	"cái gì ?ó, v?t nào ?ó"
sometimes (adv)	/?s?m.ta?mz/	"th?nh tho?ng, ?ôi khi"
son (n)	/s?n/	(quan h? v?i b? m?) con trai
soon (adv)	/su?n/	"s?m, không bao lâu n?a"
"sorry (exclamation, adj)"	/?s??r.i/	xin l?i; l?y làm ti?c
"sound (n, adj)"	/sa?nd/	"âm thanh, ti?ng ??ng; ??y ??, hoàn ch?nh, lành m?nh"
soup (n)	/su?p/	"món xúp, canh, cháo"
"south (n, adj, adv)"	/sa??/	"ph??ng, h??ng Nam; v? phía Nam"
space (n)	/spe?s/	"kho?ng tr?ng, không gian"
speak (v)	/spi?k/	"nói, phát ra âm thanh"
special (adj)	/?spe?.?l/	"??c bi?t, ??c ?áo, riêng bi?t"
speed (n)	/spi?d/	t?c ??
spell (n)	/spel/	"câu th?n chú, bùa mê"
spend (v)	/spend/	"tiêu, chi tiêu, s? d?ng (th?i gian, tài nguyên…)"
spoon (n)	/spu?n/	cái thìa
sport (n)	/sp??rt/	th? thao
"spread (n, v)"	/spred/	"s? tr?i r?ng, lan r?ng; tr?i, gi?ng ra, truy?n bá"
spring (n)	/spr??/	mùa xuân
"square (n, adj)"	/skwer/	"hình vuông, qu?ng tr??ng; vuông"
"stamp (n, v)"	/stæmp/	"con d?u, cái tem; ?ánh d?u, ?óng tem"
"stand (n, v)"	/stænd/	"ch? ??ng, v? trí ??ng; ??ng lên"
star (n)	/st??r/	ngôi sao
"start (n, v)"	/st??rt/	"s? b?t ??u, kh?i ??u; b?t ??u"
station (n)	/?ste?.??n/	"tr?m, ga"
"stay (n, v)"	/ste?/	"s? ? l?i, l?u t?i; ? l?i"
"steal (n, v)"	/sti?l/	"giá h?i, món h?i; ?n c?p, ?n tr?m"
"steam (n, v)"	/sti?m/	h?i n??c; b?c h?i
"step (n, v)"	/step/	b??c; b??c ?i
still (adv)	/st?l/	v?n
stomach (n)	/?st?m.?k/	"b?ng, d? dày"
"stone (n, adj)"	/sto?n/	hòn ?á; b?ng ?á
"stop (n, v)"	/st??p/	"?i?m d?ng, tr?m d?ng; d?ng l?i, k?t thúc"
"store (n, v)"	/st??r/	"c?a hàng; d? tr?, c?t gi?"
"storm (n, v)"	/st??rm/	"c?n bão, giông bão; lao vào, xông vào"
story (n)	/?st??r.i/	câu chuy?n; t?ng l?u
strange (adj)	/stre?nd?/	"k? l?, l? lùng"
street (n)	/stri?t/	???ng ph?
strawberry (n)	/?str???ber.i/	qu? dâu tây
strong (adj)	/str???/	"m?nh, v?ng vàng"
structure (n)	/?str?k.t??/	"c?u trúc, k?t c?u"
student (n)	/?stu?.d?nt/	"h?c sinh, sinh viên"
"study (n, v)"	/?st?d.i/	"bài nghiên c?u; h?c, nghiên c?u"
stupid (adj)	/?stu?.p?d/	"ngu d?t, d?i d?t"
subject (n)	/?s?b.d?ekt/	"ch? ??, ch? ng?"
substance (n)	/?s?b.st?ns/	"v?t li?u, ch?t li?u, v?t ch?t"
successful (adj)	/s?k?ses.f?l/	"thành công, th?ng l?i"
"such (pret, pron)"	/s?t?/	"nh? v?y, nh? th?; cái ?ó, ?i?u ?ó"
sudden (adj)	/?s?d.?n/	"th?nh lình, ??t ng?t"
sugar (n)	/????.?/	???ng
suitable (adj)	/?su?.t??.b?l/	"phù h?p, thích h?p"
summer (n)	/?s?m.?/	"mùa hè, mùa h?"
sun (n)	/s?n/	m?t tr?i
sunny (adj)	/?s?n.i/	"có n?ng; vui v?, vui t??i"
"support (n, v)"	/s??p??rt/	"s? h? tr?, s? giúp ??; ng??i ?ng h?; ?ng h?, c? v?"
sure (adj)	/??r/	"ch?c ch?n, cam ?oan"
"surprise (n, v)"	/s??pra?z/	"s? ng?c nhiên, s?ng s?t, b?t ng?; làm ng?c nhiên, gây b?t ng?"
"sweet (n, v)"	/swi?t/	k?o; ng?t ngào
swim (v)	/sw?m/	b?i l?i
sword (n)	/s??rd/	"g??m, ki?m, ?ao"
table (n)	/?te?.b?l/	cái bàn
"take (n, v)"	/te?k/	"s? c?m, n?m; c?m, n?m, l?y"
"talk (n, v)"	/t??k/	"cu?c nói chuy?n, cu?c th?o lu?n; trò chuy?n, bàn b?c"
tall (adj)	/t??l/	"(dành cho ng??i, ??ng v?t) cao"
"taste (n, v)"	/te?st/	"v?, s? n?m; n?m"
taxi (n)	/?tæk.si/	xe t?c xi
tea (n)	/ti?/	"n??c chè, trà"
teach (v)	/ti?t?/	"d?y h?c, gi?ng d?y"
team (n)	/ti?m/	"??i, nhóm"
tear (n)	/ter/	"n??c m?t, l?"
telephone (n)	/?tel.?.fo?n/	?i?n tho?i có dây
television (n)	/?tel.?.v??.?n/	ch??ng trình truy?n hình; TV
tell (v)	/tel/	"nói, ch? cho, cho bi?t"
ten (n)	/ten/	s? 10
tennis (n)	/?ten.?s/	qu?n v?t
terrible (adj)	/?ter.?.b?l/	"kh?ng khi?p, th?m t?, ghê g?m"
"test (n, v)"	/test/	"bài ki?m tra, bài sát h?ch; th? thách, ki?m tra"
"than (prep, conj)"	/ðæn/	"(so sánh) h?n, thà…còn h?n"
that (det)	/ðæt/	"?y, kia, ?ó"
the (det)	/ði?/	"?y, này, (v?t, ng??i…) duy nh?t"
their (det)	/ðer/	"c?a chúng nó, c?a h?"
"then (adv, adj)"	/ðen/	"khi ?ó, lúc ?ó; ? th?i ?i?m ?ó, h?i ?y"
there (adv)	/ðer/	"? n?i ?ó, t?i ?ó"
therefore (adv)	/?ðer.f??r/	"b?i v?y, vì th?"
"these (pron, det)"	/ði?z/	"nh?ng cái này, nh?ng th? này"
thick (adj)	/??k/	"dày, r?m r?p, ??c s?t"
thin (adj)	/??n/	"m?ng, m?nh mai"
thing (n)	/???/	"cái, ??, v?t, th?"
think (v)	/???k/	suy ngh?
"third (n, det, adv)"	/???d/	"ng??i v? th? ba, ng??i th? ba; th? ba; ? v? trí th? ba"
"this (det, pron)"	/ð?s/	"(cái) này; ?i?u này, vi?c này, th? này"
though (conj)	/ðo?/	"dù, m?c dù, tuy v?y, tuy nhiên"
threat (n)	/?ret/	"s? ?e d?a, l?i ?e d?a"
three (n)	/?ri?/	s? 3
"tidy (adj, v)"	/?ta?.di/	"s?ch s?, ng?n n?p; d?n d?p"
"tie (n, v)"	/ta?/	"dây bu?c, cà v?t; bu?c, th?t"
title (n)	/?ta?.t??l/	"danh ngh?a, danh hi?u, nhan ??"
to (prep)	/tu?/	"theo, t?i, ??"
today (n)	/t??de?/	"hôm nay, ngày nay"
toe (n)	/to?/	ngón chân
together (adv)	/t???eð.?/	"cùng nhau, v?i nhau"
"tomorrow (n, adv)"	/t??m??r.o?/	ngày mai
"tonight (n, adv)"	/t??na?t/	t?i nay
too (adv)	/tu?/	"c?ng v?y, c?ng nh? th?"
tool (n)	/tu?l/	"công c?, thi?t b?"
tooth (n)	/tu??/	cái r?ng
"top (n, v)"	/t??p/	"chóp, ??nh, hàng ??u; ??t ? trên, lên trên ??nh"
total (n)	/?to?.t??l/	"t?ng c?ng, toàn b?"
"touch (n, v)"	/t?t?/	"s? s?, cái ch?m; ch?m vào, ti?p xúc"
town (n)	/ta?n/	"th? tr?n, thành ph? (nh?)"
train (n)	/tre?n/	"xe l?a, ?oàn tàu h?a"
tram (n)	/træm/	"xe tr? khách, xe ?i?n"
"travel (n, v)"	/?træv.?l/	"chuy?n ?i; ?i du l?ch, khám phá"
tree (n)	/tri?/	cái cây
trouble (n)	/?tr?b.?l/	"v?n ??, r?c r?i, m?i phi?n ph?c"
TRUE (adj)	/tru?/	"?úng, chính xác"
"trust (n, v)"	/tr?st/	"s? tín nhi?m, lòng tin; tin t??ng"
"twice (pret, adv)"	/twa?s/	"hai l?n, g?p ?ôi"
"try (n, v)"	/tra?/	"s? th? s?c; th?, làm th?"
"turn (n, v)"	/t??n/	"l??t, s? quay vòng; quay, v?n"
"type (n, v)"	/ta?p/	"lo?i, th? lo?i; ?ánh máy"
ugly (adj)	/???.li/	"x?u xí, không h?p d?n"
uncle (n)	/???.k?l/	"chú, bác, c?u"
under (prep)	/??n.d?/	"(v? trí, th? h?ng) ? d??i"
understand (v)	/??n.d??stænd/	"hi?u, th?u hi?u, thông c?m"
unit (n)	/?ju?.n?t/	"??n v?, m?t kh?i"
"until (prep, conj)"	/?n?t?l/	"tr??c khi, cho ??n khi"
	/?n?t?l/	
"up (adv, prep)"	/?p/	"? trên, lên phía trên;"
"use (n, v)"	/ju?z/	s? s? d?ng; dùng
useful (adj)	/?ju?s.f?l/	"h?u ích, có ích"
usual (adj)	/?ju?.?u.?l/	"thông th??ng, th??ng l?, nh? m?i khi"
usually (adv)	/?ju?.?u.?.li/	"theo cách thông th??ng, nh? th??ng l?"
"vegetable (n, adj)"	/?ved?.t?.b?l/	"(thu?c) th?c v?t; rau, c?"
very (adv)	/?ver.i/	"h?t s?c, r?t, quá"
"village (n, adj)"	/?v?l.?d?/	"làng, xã"
"voice (n, v)"	/v??s/	"ti?ng nói, gi?ng nói; bày t?, nói lên"
"visit (n, v)"	/?v?z.?t/	"chuy?n th?m, cu?c vi?ng th?m; th?m thú, th?m vi?ng"
"wait (n, v)"	/we?t/	"s? ch? ??i, th?i gian ch? ??i; ch? ??i"
wake (v)	/we?k/	"th?c gi?c, ?ánh th?c"
"walk (n, v)"	/w??k/	"cu?c ?i b?, s? t?n b?; ?i b?, ?i d?o"
"want (n, v)"	/w??nt/	"mong mu?n, nhu c?u; mong ??c"
"warm (adj, v)"	/w??rm/	"?m áp, âu y?m; làm nóng lên, hâm nóng lên, làm ?m lên"
was (v)	/w??z/	"thì, là (trong quá kh? cho ngôi th? ba, th? nh?t và danh t? s? ít)"
"wash (n, v)"	/w???/	s? t?m r?a; g?t r?a
"waste (n, v)"	/we?st/	"rác r??i, ?? th?a; v?t b?, lãng phí"
"watch (n, v)"	/w??t?/	"??ng h?, s? canh gác; canh gác, quan sát, nhìn ng?m"
water (n)	/?w??.t??/	n??c
way (n)	/we?/	"???ng ?i, l?i ?i, cách làm"
we (pron)	/wi?/	"chúng tôi, chúng ta"
	/wi/	
weak (adj)	/wi?k/	"y?u ?t, y?u ?u?i, m?m m?ng"
"wear (n, v)"	/wer/	"?? ?? m?c; m?c, ?eo"
weather (n)	/?weð.?/	th?i ti?t
wedding (n)	/?wed.??/	?ám c??i
week (n)	/wi?k/	tu?n
weight (n)	/we?t/	"tr?ng l??ng, s?c n?ng, cân n?ng"
"welcome (v, adj)"	/?wel.k?m/	"chào ?ón, ti?p ?ón; ???c hoan nghênh"
were (v)	/w??/	"thì, là (trong quá kh? cho ngôi th? nh?t và danh t? s? nhi?u)"
well (adv)	/wel/	"t?t, hay, sâu s?c"
"west (n, adj, adv)"	/west/	"ph??ng, h??ng Tây; v? phía Tây"
wet (adj)	/wet/	"??t, ??m n??c"
"what (det, pron, exclamation)"	/w??t/	"cái gì, th? nào, thì sao"
wheel (n)	/wi?l/	"bánh xe, bánh lái, tay lái"
"when (adv, conj)"	/wen/	"vào lúc nào, khi nào, bao gi?"
"where (adv, conj)"	/wer/	"? ?âu, ch? nào"
"which (det, pron)"	/w?t?/	"gì, cái nào (trong s? nh?ng cái ?ã li?t kê); cái mà"
while (conj)	/wa?l/	"trong khi, trong lúc"
white (n)	/wa?t/	(màu s?c) tr?ng
who (pron)	/hu?/	"ai, ng??i nào"
why (adv)	/wa?/	"vì sao, t?i sao"
wide (adj)	/wa?d/	"r?ng, r?ng l?n"
wife (n)	/wa?f/	"v?, phu nhân"
wild (adj)	/wa?ld/	"hoang dã, hoang d?i"
will (modal verb)	/w?l/	s?
"win (n, v)"	/w?n/	s? th?ng cu?c; chi?n th?ng
wind (n)	/w?nd/	gió
window (n)	/?w?n.do?/	c?a s?
wine (n)	/wa?n/	r??u vang
winter (n)	/?w?n.t??/	mùa ?ông
wire (n)	/wa?r	dây n?i (kim lo?i)
wise (adj)	/wa?z/	"khôn ngoan, sáng su?t"
"wish (n, v)"	/w??/	"?i?u ??c, s? mong m?i; mong ??c, c?u nguy?n"
